locus,start,end
acpM-kasA,2517694,2519364
gid,4407527,4408333
rpsA,1833377,1834986
clpC,4036730,4040936
embCAB,4239662,4249809
aftB-ubiA,4266952,4269832
rrs-rrl,1471575,1477012
ethAR,4326003,4328198
oxyR-ahpC,2725476,2726779
tlyA,1917754,1918745
katG,2153234,2156705
rpsL,781310,781933
rpoBC,759608,767319
fabG1-inhA,1672456,1675010
eis,2713782,2716313
gyrBA,4996,9817
panD,4043040,4045209
pncA,2287882,2289598
